   0.10000D-07   0.10000D-07   0.10000D-07   0.10000D-07   0.10000D-07   0.10000D-07
   0.000000000   0.000000000   0.000000000   0.000000000   0.000000000   0.000000000
   0.144000000   0.144000000   0.144000000   0.144000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000   0.001000000   0.001000000   0.001000000
   0.078980595   0.078980595   0.078980595   0.095130472   0.095130472   0.095130472
   0.025000000   0.025000000   0.025000000   0.010000000   0.010000000   0.010000000
   0.000004412   0.000004412   0.000004412   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000   0.001500000   0.001500000   0.001500000
   0.020004767   0.020004767   0.020004767   0.014863720   0.014863720   0.014863720
   0.005995233   0.005995233   0.005995233   0.011136280   0.011136280   0.011136280
   0.005000000   0.005000000   0.005000000   0.005000000   0.005000000   0.005000000
   0.000014686   0.000014686   0.000014686   0.000005927   0.000005927   0.000005927
   0.000985314   0.000985314   0.000985314   0.000994073   0.000994073   0.000994073
