x=1:av.out:av.lum:reabs:fr.ab:
20 : 12.5 : 56.9 : 175.8 : .59
30 : 17.5 : 58.9 : 164.1 : .55
40 : 22.5 : 60.9 : 152.5 : .51
50 : 27.5 : 63.0 : 141.1 : .47
60 : 32.5 : 65.0 : 129.7 : .43
70 : 37.5 : 67.2 : 118.4 : .39
80 : 42.5 : 69.3 : 107.2 : .36
90 : 47.5 : 71.4 :  96.1 : .32
100 : 52.5 : 73.6 : 85.1 : .28
