  0.90000000D+01  0.10143480D+02  0.90000000D+01  0.99846755D+01  0.11426638D+02 -0.13137825D+01 -0.12555866D+01 -0.71533332D+00  0.65551912D+00 -0.93491806D+00
  0.14400000D+00  0.14404480D+00  0.14400000D+00  0.15756556D+00  0.17148132D+00  0.17476634D+00  0.17637498D+00  0.17699034D+00  0.17723456D+00  0.18189581D+00
  0.50000000D-02  0.65758742D-02  0.50000000D-02  0.96088072D-02  0.13792662D-01  0.15431439D-01  0.15916062D-01  0.16153904D-01  0.16292234D-01  0.16810084D-01
  0.11859662D+00  0.12612959D+00  0.11859662D+00  0.14221976D+00  0.16041251D+00  0.17360625D+00  0.17776861D+00  0.17955286D+00  0.18050950D+00  0.18542916D+00
  0.25000000D-01  0.23043027D-01  0.25000000D-01  0.22680078D-01  0.23835388D-01  0.15822638D-01  0.13937845D-01  0.13157428D-01  0.12738399D-01  0.12935053D-01
  0.44120000D-05  0.70760242D-05  0.44120000D-05  0.64163211D-05  0.11110210D-04  0.10921607D-04  0.11394728D-04  0.11830766D-04  0.12116783D-04  0.12349496D-04
  0.15000000D-02  0.24146273D-02  0.15000000D-02  0.21885693D-02  0.37796583D-02  0.36982431D-02  0.38472497D-02  0.39842204D-02  0.40734383D-02  0.41474183D-02
  0.20004521D-02  0.98687594D-03  0.20004521D-02  0.12634274D-02  0.82701114D-03  0.72135631D-03  0.67354621D-03  0.63665573D-03  0.58694899D-03  0.61717925D-03
  0.59954793D-03  0.51516508D-03  0.59954793D-03  0.60874955D-03  0.65720948D-03  0.84901673D-03  0.93877155D-03  0.97587709D-03  0.95160524D-03  0.10040013D-02
  0.50000000D-02  0.61553967D-02  0.50000000D-02  0.81926314D-02  0.79153624D-02  0.11227904D-01  0.14329096D-01  0.20691053D-01  0.41661934D-01  0.40681143D-01
  0.29370397D-05  0.13078952D-04  0.29370397D-05  0.12861569D-04  0.91633784D-05  0.67527037D-05  0.60779948D-05  0.57199036D-05  0.53855594D-05  0.54507473D-05
  0.19706296D-03  0.15284675D-02  0.19706296D-03  0.13873362D-02  0.16302248D-02  0.17792769D-02  0.18964975D-02  0.19628116D-02  0.19547297D-02  0.19850819D-02
  0.10000407D-02  0.48769067D-03  0.10000407D-02  0.52633477D-03  0.34520676D-03  0.25662636D-03  0.19543265D-03  0.14782327D-03  0.10837547D-03  0.88659369D-04
  0.27334632D-06  0.23226434D-06  0.27334632D-06  0.23092497D-06  0.24974343D-06  0.27484484D-06  0.24775795D-06  0.20597323D-06  0.15962182D-06  0.13101192D-06
  0.50000000D-02  0.28307660D-02  0.50000000D-02  0.28194084D-02  0.21095606D-02  0.17323663D-02  0.14134616D-02  0.11178257D-02  0.84226010D-03  0.73919686D-03
