  0.1000D+00  0.2289D-06
   0.006750265   0.005000000   0.005000000
   0.000003010   0.000002821   0.000002821
   0.000340062   0.000197179   0.000197179
   0.001396223   0.001000029   0.001000029
   0.000000643   0.000000285   0.000000285
   0.000067890   0.005000000   0.005000000
  0.1000D+00  0.3475D-06
  0.9104  0.0000  0.0000
 13.8986  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.141605336   0.140000000   0.140000000
   0.005513498   0.004900000   0.004900000
   0.123829899   0.113225077   0.113225077
   0.014368506   0.024000000   0.024000000
   0.000004410   0.000004412   0.000004412
   0.001507664   0.001500000   0.001500000
   0.003126434   0.002972122   0.002972122
   0.001629610   0.000927878   0.000927878
   0.006781729   0.005000000   0.005000000
   0.000003061   0.000002821   0.000002821
   0.000357221   0.000197179   0.000197179
   0.001395144   0.001000029   0.001000029
   0.000000663   0.000000285   0.000000285
   0.000063040   0.005000000   0.005000000
  0.1000D+00  0.3661D-06
  0.9721  0.0000  0.0000
 14.6428  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.141417042   0.140000000   0.140000000
   0.005561900   0.004900000   0.004900000
   0.124226972   0.113225077   0.113225077
   0.013953741   0.024000000   0.024000000
   0.000004408   0.000004412   0.000004412
   0.001506991   0.001500000   0.001500000
   0.003066709   0.002972122   0.002972122
   0.001645328   0.000927878   0.000927878
   0.006803610   0.005000000   0.005000000
   0.000003116   0.000002821   0.000002821
   0.000374271   0.000197179   0.000197179
   0.001393729   0.001000029   0.001000029
   0.000000682   0.000000285   0.000000285
   0.000059299   0.005000000   0.005000000
  0.1000D+00  0.3856D-06
  1.0274  0.0000  0.0000
 15.4250  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.141242287   0.140000000   0.140000000
   0.005608861   0.004900000   0.004900000
   0.124569075   0.113225077   0.113225077
   0.013599255   0.024000000   0.024000000
   0.000004407   0.000004412   0.000004412
   0.001506364   0.001500000   0.001500000
   0.003011950   0.002972122   0.002972122
   0.001657442   0.000927878   0.000927878
   0.006817219   0.005000000   0.005000000
   0.000003174   0.000002821   0.000002821
   0.000391037   0.000197179   0.000197179
   0.001392494   0.001000029   0.001000029
   0.000000699   0.000000285   0.000000285
   0.000056353   0.005000000   0.005000000
  0.1000D+00  0.4060D-06
  1.0766  0.0000  0.0000
 16.2400  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.141081498   0.140000000   0.140000000
   0.005654036   0.004900000   0.004900000
   0.124861291   0.113225077   0.113225077
   0.013298754   0.024000000   0.024000000
   0.000004405   0.000004412   0.000004412
   0.001505784   0.001500000   0.001500000
   0.002962353   0.002972122   0.002972122
   0.001666396   0.000927878   0.000927878
   0.006823928   0.005000000   0.005000000
   0.000003235   0.000002821   0.000002821
   0.000407387   0.000197179   0.000197179
   0.001391757   0.001000029   0.001000029
   0.000000714   0.000000285   0.000000285
   0.000053989   0.005000000   0.005000000
  0.1000D+00  0.4271D-06
  1.1203  0.0000  0.0000
 17.0823  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140934408   0.140000000   0.140000000
   0.005697215   0.004900000   0.004900000
   0.125109469   0.113225077   0.113225077
   0.013045422   0.024000000   0.024000000
   0.000004404   0.000004412   0.000004412
   0.001505248   0.001500000   0.001500000
   0.002917804   0.002972122   0.002972122
   0.001672663   0.000927878   0.000927878
   0.006825086   0.005000000   0.005000000
   0.000003298   0.000002821   0.000002821
   0.000423230   0.000197179   0.000197179
   0.001391677   0.001000029   0.001000029
   0.000000728   0.000000285   0.000000285
   0.000052059   0.005000000   0.005000000
  0.1000D+00  0.4487D-06
  1.1590  0.0000  0.0000
 17.9469  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140800256   0.140000000   0.140000000
   0.005738312   0.004900000   0.004900000
   0.125319738   0.113225077   0.113225077
   0.012832388   0.024000000   0.024000000
   0.000004402   0.000004412   0.000004412
   0.001504757   0.001500000   0.001500000
   0.002877976   0.002972122   0.002972122
   0.001676715   0.000927878   0.000927878
   0.006821948   0.005000000   0.005000000
   0.000003362   0.000002821   0.000002821
   0.000438517   0.000197179   0.000197179
   0.001392282   0.001000029   0.001000029
   0.000000740   0.000000285   0.000000285
   0.000050458   0.005000000   0.005000000
  0.1000D+00  0.4707D-06
  1.1934  0.0000  0.0000
 18.8286  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140677969   0.140000000   0.140000000
   0.005777343   0.004900000   0.004900000
   0.125498132   0.113225077   0.113225077
   0.012653077   0.024000000   0.024000000
   0.000004401   0.000004412   0.000004412
   0.001504306   0.001500000   0.001500000
   0.002842411   0.002972122   0.002972122
   0.001678997   0.000927878   0.000927878
   0.006815635   0.005000000   0.005000000
   0.000003427   0.000002821   0.000002821
   0.000453238   0.000197179   0.000197179
   0.001393514   0.001000029   0.001000029
   0.000000751   0.000000285   0.000000285
   0.000049109   0.005000000   0.005000000
  0.1000D+00  0.4931D-06
  1.2242  0.0000  0.0000
 19.7231  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140566317   0.140000000   0.140000000
   0.005814400   0.004900000   0.004900000
   0.125650308   0.113225077   0.113225077
   0.012501452   0.024000000   0.024000000
   0.000004400   0.000004412   0.000004412
   0.001503893   0.001500000   0.001500000
   0.002810593   0.002972122   0.002972122
   0.001679910   0.000927878   0.000927878
   0.006807104   0.005000000   0.005000000
   0.000003493   0.000002821   0.000002821
   0.000467407   0.000197179   0.000197179
   0.001395264   0.001000029   0.001000029
   0.000000761   0.000000285   0.000000285
   0.000047956   0.005000000   0.005000000
  0.1000D+00  0.5157D-06
  1.2519  0.0000  0.0000
 20.6263  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140464029   0.140000000   0.140000000
   0.005849628   0.004900000   0.004900000
   0.125781369   0.113225077   0.113225077
   0.012372150   0.024000000   0.024000000
   0.000004399   0.000004412   0.000004412
   0.001503513   0.001500000   0.001500000
   0.002781998   0.002972122   0.002972122
   0.001679803   0.000927878   0.000927878
   0.006797150   0.005000000   0.005000000
   0.000003559   0.000002821   0.000002821
   0.000481061   0.000197179   0.000197179
   0.001397397   0.001000029   0.001000029
   0.000000770   0.000000285   0.000000285
   0.000046957   0.005000000   0.005000000
  0.1000D+00  0.5384D-06
  1.2771  0.0000  0.0000
 21.5349  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140369875   0.140000000   0.140000000
   0.005883199   0.004900000   0.004900000
   0.125895773   0.113225077   0.113225077
   0.012260540   0.024000000   0.024000000
   0.000004398   0.000004412   0.000004412
   0.001503165   0.001500000   0.001500000
   0.002756130   0.002972122   0.002972122
   0.001678972   0.000927878   0.000927878
   0.006786407   0.005000000   0.005000000
   0.000003624   0.000002821   0.000002821
   0.000494247   0.000197179   0.000197179
   0.001399777   0.001000029   0.001000029
   0.000000778   0.000000285   0.000000285
   0.000046081   0.005000000   0.005000000
  0.1000D+00  0.5612D-06
  1.3002  0.0000  0.0000
 22.4460  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140282715   0.140000000   0.140000000
   0.005915297   0.004900000   0.004900000
