   80    2   80    2   80    2   80    2   80    2   80    2
   40    4   40    4   40    4   40    4   40    4   40    4
   40    4   40    4   40    4   40    4   40    4   40    4
    0    4   80    8  160   12  240   16  320   20  400    2
    0    4   80    8  160   12  240   16  320   20  400    2
   80    4   80    4   80    4   80    4   80    4   80    4
   80    4   80    4   80    4   80    4   80    4   80    4
   80    4   80    4   80    4   80    4   80    4   80    4
   80    4    0    1    0    1    0    1    0    1    0    1
   80    4    0    1    0    1    0    1    0    1    0    1
   80    4    0    1    0    1    0    1    0    1    0    1
  400   10    0    1    0    1    0    1    0    1    0    1
