  0.2000D+01  0.1884D-05  0.4648
 35.0000 35.0000 35.0000
 -1.7451  0.0000  0.0000
  8.8408  5.0000  5.0000
  8.4916  0.0000  0.0000
   0.206464946   0.284000000   0.144000000
   0.007740369   0.010000000   0.005000000
   0.183990264   0.264942017   0.118596593
   0.025823849   0.025000000   0.025000000
   0.000004440   0.000004412   0.000004412
   0.001509632   0.001500000   0.001500000
   0.002328330   0.003000715   0.002000477
   0.000679854   0.000899285   0.000599523
   0.016218511   0.020000000   0.005000000
   0.000030618   0.000057275   0.000002937
   0.002001443   0.003842725   0.000197063
   0.001056178   0.001000041   0.001000041
   0.000000281   0.000000273   0.000000273
   0.005460444   0.005000000   0.005000000
