


    om1   omdvr       omavr

  absolute delivery

 k     -0.4792E-02 -0.1112E-02 -0.1692E-02  0.2334E-02 -0.5262E-02
 hco3  -0.3226E-02  0.3184E-02 -0.1571E-02 -0.6681E-02 -0.8294E-02
 nh4   -0.6300E-04 -0.8100E-04 -0.1850E-03  0.0000E+00 -0.3290E-03
 nae    0.3163E-02 -0.3265E-02  0.1386E-02  0.6681E-02  0.7965E-02
 urea  -0.6770E-03 -0.1991E-02 -0.1325E-02  0.1383E-02 -0.2610E-02
 fvc   -0.1177E+00 -0.1412E-01 -0.1069E+00 -0.1354E+00 -0.3741E+00

  reabsorption relative to segmental delivery

 na        -0.6082     -0.0359     -0.2376     -0.1410     -1.3526
 k         -2.9950     -0.1740     -0.2255      0.2538     -3.2887
 hco3      -0.4032      0.2836     -0.1953     -0.6950     -1.0367
 nh4       -0.0998     -0.1167     -0.2387      0.0000     -0.5214
 nae       -0.4292      0.3100     -0.1907     -0.7721     -1.0809
 urea      -0.2116     -0.5135     -0.2258      0.1923     -0.8156
 fvc       -0.3678     -0.0323     -0.2365     -0.2424     -1.1690

  reabsorption relative to initial delivery

 na        -0.6082     -0.0577     -0.3959     -0.2908     -1.3526
 k         -2.9950     -0.6950     -1.0575      1.4587     -3.2887
 hco3      -0.4032      0.3980     -0.1964     -0.8351     -1.0367
 nh4       -0.0998     -0.1284     -0.2932      0.0000     -0.5214
 nae       -0.4292      0.4431     -0.1881     -0.9066     -1.0809
 urea      -0.2116     -0.6222     -0.4141      0.4322     -0.8156
 fvc       -0.3678     -0.0441     -0.3339     -0.4231     -1.1690



    im2   oidvr       imdvr       imavr       oiavr

  absolute delivery

 na     0.2304E-01  0.3705E-01  0.3938E-01  0.4912E-01  0.5555E-01
 k      0.8000E-03  0.3196E-02  0.3848E-02  0.4756E-02  0.3517E-02
 hco3   0.4000E-02  0.5613E-02  0.3361E-02  0.4956E-02  0.8341E-02
 nh4    0.3150E-03  0.3470E-03  0.4250E-03  0.4960E-03  0.4920E-03
